yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx
188012,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,3.6539051918234328E-3,NaN,NaN,NaN,NaN,NaN,NaN
188101,6.19,0.26500000000000001,0.48580000000000001,NaN,NaN,NaN,NaN,NaN,NaN,4.0671462623212635E-3,NaN,NaN,NaN,NaN,NaN,NaN
188102,6.17,0.27,0.48170000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.5136984000473824E-3,NaN,NaN,NaN,NaN,NaN,NaN
188103,6.24,0.27500000000000002,0.47749999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.6096293628415221E-3,NaN,NaN,NaN,NaN,NaN,NaN
188104,6.22,0.28000000000000003,0.4733,NaN,NaN,NaN,NaN,NaN,NaN,3.7350775449569353E-3,NaN,NaN,NaN,NaN,NaN,NaN
188105,6.5,0.28499999999999998,0.46920000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.4694225710654725E-3,NaN,NaN,NaN,NaN,NaN,NaN
188106,6.58,0.28999999999999998,0.46500000000000002,NaN,NaN,NaN,NaN,NaN,NaN,2.6355611252394922E-3,NaN,NaN,NaN,NaN,NaN,NaN
188107,6.35,0.29499999999999998,0.46079999999999999,NaN,NaN,NaN,NaN,NaN,NaN,2.222320054741662E-3,NaN,NaN,NaN,NaN,NaN,NaN
188108,6.2,0.3,0.45669999999999999,NaN,NaN,NaN,NaN,NaN,NaN,2.5912852962575819E-3,NaN,NaN,NaN,NaN,NaN,NaN
188109,6.25,0.30499999999999999,0.45250000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.2923192551378307E-3,NaN,NaN,NaN,NaN,NaN,NaN
188110,6.15,0.31,0.44829999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.8383878125813936E-3,NaN,NaN,NaN,NaN,NaN,NaN
188111,6.19,0.315,0.44419999999999998,NaN,NaN,NaN,NaN,NaN,NaN,4.2516288830792238E-3,NaN,NaN,NaN,NaN,NaN,NaN
188112,6.01,0.32,0.44,NaN,NaN,NaN,NaN,NaN,NaN,4.2885254072308155E-3,NaN,NaN,NaN,NaN,NaN,NaN
188201,5.92,0.32,0.43919999999999998,NaN,NaN,NaN,NaN,NaN,NaN,4.2516288830792238E-3,NaN,NaN,NaN,NaN,NaN,NaN
188202,5.79,0.32,0.43830000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188203,5.78,0.32,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,3.6760431063143878E-3,NaN,NaN,NaN,NaN,NaN,NaN
188204,5.78,0.32,0.43669999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.8014912884298006E-3,NaN,NaN,NaN,NaN,NaN,NaN
188205,5.71,0.32,0.43580000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.3734916082713328E-3,NaN,NaN,NaN,NaN,NaN,NaN
188206,5.68,0.32,0.435,NaN,NaN,NaN,NaN,NaN,NaN,3.2185262068346464E-3,NaN,NaN,NaN,NaN,NaN,NaN
188207,6,0.32,0.43419999999999997,NaN,NaN,NaN,NaN,NaN,NaN,3.4177674372532435E-3,NaN,NaN,NaN,NaN,NaN,NaN
188208,6.18,0.32,0.43330000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.0488021957373237E-3,NaN,NaN,NaN,NaN,NaN,NaN
188209,6.24,0.32,0.4325,NaN,NaN,NaN,NaN,NaN,NaN,3.8088705932601192E-3,NaN,NaN,NaN,NaN,NaN,NaN
188210,6.07,0.32,0.43169999999999997,NaN,NaN,NaN,NaN,NaN,NaN,4.6205941245951437E-3,NaN,NaN,NaN,NaN,NaN,NaN
188211,5.81,0.32,0.43080000000000002,NaN,NaN,NaN,NaN,NaN,NaN,4.5615596859525966E-3,NaN,NaN,NaN,NaN,NaN,NaN
188212,5.84,0.32,0.43,NaN,NaN,NaN,NaN,NaN,NaN,4.4361115038371833E-3,NaN,NaN,NaN,NaN,NaN,NaN
188301,5.81,0.32079999999999997,0.42749999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.9785946043574419E-3,NaN,NaN,NaN,NaN,NaN,NaN
